utc_time,ppa,value,rule_id,rule
2026-01-22 19:58:44.217,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.226,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.226,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.237,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.247,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.247,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.258,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.270,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.281,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.281,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.292,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.302,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.313,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.323,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.323,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 19:58:44.323,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 19:58:44.324,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 19:58:44.324,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.324,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 19:58:44.324,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 19:58:44.334,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 19:58:44.334,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 19:58:44.335,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 19:58:44.335,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.345,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 19:58:44.345,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 19:58:44.346,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 19:58:44.346,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.356,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 19:58:44.356,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 19:58:44.356,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 19:58:44.356,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 19:58:44.366,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 19:58:44.366,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 19:58:44.366,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 19:58:44.366,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.216,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.225,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.226,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.242,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.252,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.252,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.264,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.274,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.284,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.295,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.295,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.312,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.323,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.323,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.323,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:00:15.323,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.323,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.323,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.323,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.323,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.332,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:00:15.332,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.332,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.332,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.343,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:00:15.343,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:00:15.344,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:00:15.344,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:00:15.354,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:00:15.354,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
