window_start_utc;window_end_utc;ppa;utc_measurement;utc_arrival;delta_ms;value;flags
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16392;2026-02-04 16:41:29.949;2026-02-04 16:41:30.004;54.737;5.000.316.619.873.040;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22780;2026-02-04 16:41:29.957;2026-02-04 16:41:30.005;47.737;59.928.558.349.609.300;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16290;2026-02-04 16:41:29.949;2026-02-04 16:41:30.005;55.737;5.000.556.182.861.320;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16494;2026-02-04 16:41:29.949;2026-02-04 16:41:30.005;55.737;4.999.446.487.426.750;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16188;2026-02-04 16:41:29.949;2026-02-04 16:41:30.005;55.737;50.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;15984;2026-02-04 16:41:29.949;2026-02-04 16:41:30.006;56.736;50.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22372;2026-02-04 16:41:29.965;2026-02-04 16:41:30.006;40.736;60.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22678;2026-02-04 16:41:29.965;2026-02-04 16:41:30.006;40.736;5.993.644.332.885.740;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22168;2026-02-04 16:41:29.965;2026-02-04 16:41:30.006;40.736;60.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22066;2026-02-04 16:41:29.965;2026-02-04 16:41:30.007;41.738;60.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22270;2026-02-04 16:41:29.965;2026-02-04 16:41:30.007;41.738;60.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22780;2026-02-04 16:41:29.965;2026-02-04 16:41:30.007;41.738;5.995.231.628.417.960;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22474;2026-02-04 16:41:29.965;2026-02-04 16:41:30.007;41.738;5.993.702.697.753.900;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22576;2026-02-04 16:41:29.965;2026-02-04 16:41:30.007;41.738;59.964.088.439.941.400;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16086;2026-02-04 16:41:29.959;2026-02-04 16:41:30.007;47.738;50.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;15882;2026-02-04 16:41:29.959;2026-02-04 16:41:30.008;48.738;50.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16290;2026-02-04 16:41:29.959;2026-02-04 16:41:30.009;49.737;4.998.167.419.433.590;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16596;2026-02-04 16:41:29.959;2026-02-04 16:41:30.009;49.737;4.998.383.712.768.550;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16494;2026-02-04 16:41:29.959;2026-02-04 16:41:30.009;49.737;4.998.305.130.004.880;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16392;2026-02-04 16:41:29.959;2026-02-04 16:41:30.010;50.738;49.981.773.376.464.800;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;16188;2026-02-04 16:41:29.959;2026-02-04 16:41:30.010;50.738;50.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;15984;2026-02-04 16:41:29.959;2026-02-04 16:41:30.010;50.738;50.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22372;2026-02-04 16:41:29.974;2026-02-04 16:41:30.014;39.739;60.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22678;2026-02-04 16:41:29.974;2026-02-04 16:41:30.014;39.739;5.995.579.528.808.590;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22168;2026-02-04 16:41:29.974;2026-02-04 16:41:30.014;39.739;60.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22066;2026-02-04 16:41:29.974;2026-02-04 16:41:30.015;40.737;60.0;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22576;2026-02-04 16:41:29.974;2026-02-04 16:41:30.015;40.737;59.970.916.748.046.800;0
2026-02-04 16:41:30.000;2026-02-04 16:41:40.000;22780;2026-02-04 16:41:29.974;2026-02-04 16:41:30.015;40.737;5.996.844.482.421.870;0
