window_start_utc,window_end_utc,ppa,utc_measurement,utc_arrival,delta_ms,value,flags
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,16290,2026-02-04 17:13:29.949,2026-02-04 17:13:30.000,50.702,49.97356414794922,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,16596,2026-02-04 17:13:29.949,2026-02-04 17:13:30.006,56.701,49.96580123901367,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,16392,2026-02-04 17:13:29.949,2026-02-04 17:13:30.006,56.701,49.973670959472656,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,16494,2026-02-04 17:13:29.949,2026-02-04 17:13:30.006,56.701,49.964263916015625,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,16086,2026-02-04 17:13:29.949,2026-02-04 17:13:30.006,56.701,50.0,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,15984,2026-02-04 17:13:29.949,2026-02-04 17:13:30.006,56.701,50.0,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,15882,2026-02-04 17:13:29.949,2026-02-04 17:13:30.007,57.703,50.0,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,16188,2026-02-04 17:13:29.949,2026-02-04 17:13:30.007,57.703,50.0,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,22168,2026-02-04 17:13:29.966,2026-02-04 17:13:30.007,40.703,60.0,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,22678,2026-02-04 17:13:29.966,2026-02-04 17:13:30.007,40.703,59.988712310791016,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,22372,2026-02-04 17:13:29.966,2026-02-04 17:13:30.007,40.703,60.0,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,22780,2026-02-04 17:13:29.966,2026-02-04 17:13:30.008,41.703,60.00227355957031,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,22576,2026-02-04 17:13:29.966,2026-02-04 17:13:30.008,41.703,60.0113410949707,0
2026-02-04 17:13:30.000,2026-02-04 17:13:40.000,22474,2026-02-04 17:13:29.966,2026-02-04 17:13:30.008,41.703,59.994937896728516,0
