window_start_utc,window_end_utc,ppa,utc_measurement,utc_arrival,delta_ms,value,flags
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.099,2026-02-04 18:57:50.004,-4095.459,59.98403549194336,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.099,2026-02-04 18:57:50.031,-4068.429,59.98381423950195,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.019,2026-02-04 18:57:50.032,-3987.430,50.03099060058594,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.116,2026-02-04 18:57:50.032,-4084.110,59.98502731323242,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.116,2026-02-04 18:57:50.032,-4084.110,59.98468017578125,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.133,2026-02-04 18:57:50.038,-4095.263,59.985435485839844,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.040,2026-02-04 18:57:50.038,-4001.927,50.03061294555664,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.133,2026-02-04 18:57:50.045,-4087.752,59.987060546875,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.150,2026-02-04 18:57:50.054,-4095.240,59.98546600341797,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.060,2026-02-04 18:57:50.058,-4001.252,50.03033447265625,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.150,2026-02-04 18:57:50.061,-4088.243,59.987789154052734,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.166,2026-02-04 18:57:50.071,-4095.397,59.98502731323242,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.080,2026-02-04 18:57:50.077,-4002.207,50.029876708984375,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.166,2026-02-04 18:57:50.078,-4087.879,59.985557556152344,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.183,2026-02-04 18:57:50.088,-4094.903,59.984840393066406,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.183,2026-02-04 18:57:50.095,-4087.636,59.9842414855957,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.099,2026-02-04 18:57:50.098,-4001.733,50.02978515625,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.200,2026-02-04 18:57:50.104,-4095.298,59.985591888427734,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.200,2026-02-04 18:57:50.111,-4088.294,59.985164642333984,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.120,2026-02-04 18:57:50.118,-4001.779,50.03087615966797,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.216,2026-02-04 18:57:50.121,-4095.448,59.98606872558594,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.216,2026-02-04 18:57:50.129,-4087.266,59.985679626464844,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.233,2026-02-04 18:57:50.138,-4094.819,59.98615264892578,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.140,2026-02-04 18:57:50.138,-4001.499,50.03193283081055,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.233,2026-02-04 18:57:50.145,-4087.647,59.987693786621094,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.250,2026-02-04 18:57:50.155,-4094.801,59.9866828918457,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.160,2026-02-04 18:57:50.158,-4001.801,50.0322380065918,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.250,2026-02-04 18:57:50.163,-4086.783,59.98850631713867,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.266,2026-02-04 18:57:50.170,-4095.815,59.986549377441406,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.179,2026-02-04 18:57:50.178,-4001.628,50.0308723449707,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.266,2026-02-04 18:57:50.179,-4087.299,59.982887268066406,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.283,2026-02-04 18:57:50.189,-4094.327,59.985904693603516,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.283,2026-02-04 18:57:50.195,-4087.716,59.98130416870117,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.200,2026-02-04 18:57:50.198,-4001.388,50.028255462646484,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.300,2026-02-04 18:57:50.206,-4093.888,59.9859504699707,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.300,2026-02-04 18:57:50.212,-4087.889,59.9857177734375,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.220,2026-02-04 18:57:50.217,-4002.377,50.02897262573242,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.316,2026-02-04 18:57:50.221,-4095.044,59.98585891723633,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2108,2026-02-04 18:57:54.316,2026-02-04 18:57:50.228,-4087.974,59.986759185791016,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,2423,2026-02-04 18:57:54.240,2026-02-04 18:57:50.238,-4001.787,50.03135681152344,0
2026-02-04 18:57:50.000,2026-02-04 18:58:00.000,477,2026-02-04 18:57:54.333,2026-02-04 18:57:50.238,-4095.124,59.98539352416992,0
